CMDLINE /home/funkylisp/projects/carte/.venv/bin/python profiler.py --ondisk
MEM 0.597656 1736674200.4785
MEM 32.496094 1736674200.5787
MEM 48.511719 1736674200.6790
MEM 115.980469 1736674200.7792
MEM 148.445312 1736674200.8794
MEM 191.148438 1736674200.9796
MEM 209.832031 1736674201.0798
MEM 220.007812 1736674201.1800
MEM 249.835938 1736674201.2802
MEM 328.593750 1736674201.3804
MEM 469.375000 1736674201.4807
MEM 492.703125 1736674201.5810
MEM 558.335938 1736674201.6812
MEM 567.500000 1736674201.7815
MEM 583.011719 1736674201.8817
MEM 592.398438 1736674201.9819
MEM 594.976562 1736674202.0821
MEM 598.070312 1736674202.1824
MEM 605.546875 1736674202.2826
MEM 612.000000 1736674202.3829
MEM 629.214844 1736674202.4831
MEM 637.332031 1736674202.5834
MEM 642.753906 1736674202.6836
MEM 678.339844 1736674202.7838
MEM 683.750000 1736674202.8841
MEM 691.375000 1736674202.9843
MEM 697.992188 1736674203.0845
MEM 704.960938 1736674203.1848
MEM 707.941406 1736674203.2850
MEM 724.437500 1736674203.3853
MEM 736.605469 1736674203.4855
MEM 744.964844 1736674203.5857
MEM 754.390625 1736674203.6859
MEM 760.949219 1736674203.7861
MEM 786.894531 1736674203.8864
MEM 789.546875 1736674203.9866
MEM 789.546875 1736674204.0869
MEM 789.546875 1736674204.1871
MEM 805.531250 1736674204.2874
MEM 805.492188 1736674204.3876
MEM 805.492188 1736674204.4878
MEM 805.492188 1736674204.5880
MEM 815.351562 1736674204.6883
MEM 829.980469 1736674204.7885
MEM 848.195312 1736674204.8887
MEM 866.152344 1736674204.9889
MEM 882.414062 1736674205.0892
MEM 901.660156 1736674205.1894
MEM 921.257812 1736674205.2896
MEM 938.468750 1736674205.3899
MEM 957.503906 1736674205.4901
MEM 974.492188 1736674205.5904
MEM 992.976562 1736674205.6906
MEM 1010.996094 1736674205.7908
MEM 1029.496094 1736674205.8911
MEM 1047.199219 1736674205.9913
MEM 1065.187500 1736674206.0916
MEM 1084.164062 1736674206.1918
MEM 1100.335938 1736674206.2921
MEM 1115.539062 1736674206.3924
MEM 1119.648438 1736674206.4927
MEM 1137.113281 1736674206.5929
MEM 1156.636719 1736674206.6931
MEM 1175.933594 1736674206.7933
MEM 1194.703125 1736674206.8936
MEM 1214.015625 1736674206.9938
MEM 1233.074219 1736674207.0941
MEM 1250.781250 1736674207.1943
MEM 1270.074219 1736674207.2946
MEM 1289.621094 1736674207.3949
MEM 1308.644531 1736674207.4952
MEM 1326.664062 1736674207.5954
MEM 1343.859375 1736674207.6956
MEM 1361.339844 1736674207.7959
MEM 1379.046875 1736674207.8962
MEM 1397.277344 1736674207.9964
MEM 1415.546875 1736674208.0967
MEM 1433.816406 1736674208.1969
MEM 1452.332031 1736674208.2971
MEM 1471.609375 1736674208.3974
MEM 1490.890625 1736674208.4976
MEM 1511.003906 1736674208.5979
MEM 1529.789062 1736674208.6981
MEM 1549.371094 1736674208.7984
MEM 1569.429688 1736674208.8986
MEM 1586.914062 1736674208.9988
MEM 1605.164062 1736674209.0991
MEM 1623.675781 1736674209.1993
MEM 1642.671875 1736674209.2996
MEM 1660.917969 1736674209.3998
MEM 1678.925781 1736674209.5000
MEM 1697.152344 1736674209.6003
MEM 1715.402344 1736674209.7005
MEM 1735.472656 1736674209.8007
MEM 1754.253906 1736674209.9010
MEM 1772.261719 1736674210.0012
MEM 1789.726562 1736674210.1014
MEM 1808.449219 1736674210.2017
MEM 1824.636719 1736674210.3019
MEM 1841.832031 1736674210.4022
MEM 1859.074219 1736674210.5025
MEM 1877.078125 1736674210.6028
MEM 1891.980469 1736674210.7031
MEM 1909.660156 1736674210.8033
