CMDLINE /home/funkylisp/projects/carte/.venv/bin/python profiler.py
MEM 6668.429688 1736674537.8945
MEM 6702.429688 1736674537.9948
MEM 6786.429688 1736674538.0950
MEM 6800.429688 1736674538.1953
MEM 6828.429688 1736674538.2955
MEM 6842.429688 1736674538.3957
MEM 7038.429688 1736674538.4961
MEM 7270.429688 1736674538.5966
MEM 7510.429688 1736674538.6969
MEM 7652.429688 1736674538.7971
MEM 7670.429688 1736674538.8976
MEM 7978.667969 1736674538.9978
MEM 7978.667969 1736674539.0981
MEM 7978.667969 1736674539.1984
MEM 7978.667969 1736674539.2986
MEM 7978.667969 1736674539.3989
MEM 7978.667969 1736674539.4992
MEM 7978.667969 1736674539.5994
MEM 7978.667969 1736674539.6997
MEM 7978.667969 1736674539.8001
MEM 7978.667969 1736674539.9004
MEM 7978.667969 1736674540.0007
MEM 7978.667969 1736674540.1010
MEM 7978.667969 1736674540.2014
MEM 7978.667969 1736674540.3017
MEM 7978.667969 1736674540.4020
MEM 7978.667969 1736674540.5024
MEM 7978.667969 1736674540.6027
MEM 7978.667969 1736674540.7030
MEM 7978.667969 1736674540.8033
MEM 7978.667969 1736674540.9036
MEM 7978.667969 1736674541.0039
MEM 7978.667969 1736674541.1041
MEM 7978.667969 1736674541.2053
MEM 7978.667969 1736674541.3055
MEM 7978.667969 1736674541.4058
MEM 7978.667969 1736674541.5060
MEM 7978.667969 1736674541.6063
MEM 7978.667969 1736674541.7066
MEM 7978.667969 1736674541.8069
MEM 7978.667969 1736674541.9072
MEM 7978.667969 1736674542.0075
MEM 7978.667969 1736674542.1078
MEM 7978.667969 1736674542.2081
MEM 7978.667969 1736674542.3084
MEM 7978.667969 1736674542.4087
MEM 7978.667969 1736674542.5089
MEM 7978.667969 1736674542.6097
MEM 7978.667969 1736674542.7100
MEM 7978.667969 1736674542.8102
MEM 7978.667969 1736674542.9104
MEM 7978.667969 1736674543.0110
MEM 7978.667969 1736674543.1113
MEM 7978.667969 1736674543.2116
MEM 7978.667969 1736674543.3119
MEM 7978.667969 1736674543.4121
MEM 7978.667969 1736674543.5124
MEM 7978.667969 1736674543.6126
MEM 7978.667969 1736674543.7128
MEM 7978.667969 1736674543.8131
MEM 7978.667969 1736674543.9133
MEM 7978.667969 1736674544.0135
MEM 7978.667969 1736674544.1138
MEM 7978.667969 1736674544.2140
MEM 7978.667969 1736674544.3143
MEM 7978.667969 1736674544.4145
MEM 7978.667969 1736674544.5148
MEM 7978.667969 1736674544.6150
MEM 7978.667969 1736674544.7153
MEM 7978.667969 1736674544.8155
MEM 7978.667969 1736674544.9157
MEM 7978.667969 1736674545.0160
MEM 7978.667969 1736674545.1163
MEM 7978.667969 1736674545.2165
MEM 7978.667969 1736674545.3168
MEM 7978.667969 1736674545.4170
MEM 7978.667969 1736674545.5172
MEM 7978.667969 1736674545.6175
MEM 7978.667969 1736674545.7177
MEM 7978.667969 1736674545.8180
MEM 7978.667969 1736674545.9182
MEM 7978.667969 1736674546.0184
MEM 7978.667969 1736674546.1187
MEM 7978.667969 1736674546.2189
MEM 7978.667969 1736674546.3192
MEM 7978.667969 1736674546.4195
MEM 7978.667969 1736674546.5198
MEM 7978.667969 1736674546.6201
MEM 7978.667969 1736674546.7204
MEM 7978.667969 1736674546.8216
MEM 7978.667969 1736674546.9218
MEM 7978.667969 1736674547.0221
MEM 7978.667969 1736674547.1224
MEM 7978.667969 1736674547.2226
MEM 7978.667969 1736674547.3229
MEM 7978.667969 1736674547.4231
MEM 7978.667969 1736674547.5234
MEM 7978.667969 1736674547.6237
MEM 7978.667969 1736674547.7239
MEM 7978.667969 1736674547.8243
MEM 7978.667969 1736674547.9245
MEM 7978.667969 1736674548.0248
MEM 7978.667969 1736674548.1252
MEM 7978.667969 1736674548.2255
MEM 7978.667969 1736674548.3257
MEM 7978.667969 1736674548.4259
MEM 7978.667969 1736674548.5262
MEM 7978.667969 1736674548.6264
MEM 7978.667969 1736674548.7268
MEM 7978.667969 1736674548.8271
MEM 7978.667969 1736674548.9274
MEM 7978.667969 1736674549.0276
MEM 7978.667969 1736674549.1278
MEM 7978.667969 1736674549.2281
MEM 7978.667969 1736674549.3283
MEM 7978.667969 1736674549.4286
MEM 7978.667969 1736674549.5289
MEM 7978.667969 1736674549.6292
MEM 7978.667969 1736674549.7294
MEM 7978.667969 1736674549.8297
MEM 7978.667969 1736674549.9299
MEM 7978.667969 1736674550.0302
MEM 7978.667969 1736674550.1305
MEM 7978.667969 1736674550.2308
MEM 7978.667969 1736674550.3310
MEM 7978.667969 1736674550.4313
MEM 7978.667969 1736674550.5315
MEM 7978.667969 1736674550.6317
MEM 7978.667969 1736674550.7320
MEM 7978.667969 1736674550.8322
MEM 7978.667969 1736674550.9325
MEM 7978.667969 1736674551.0328
MEM 7978.667969 1736674551.1330
MEM 7978.667969 1736674551.2333
MEM 7978.667969 1736674551.3335
MEM 7978.667969 1736674551.4339
MEM 7978.667969 1736674551.5341
MEM 7978.667969 1736674551.6344
MEM 7978.667969 1736674551.7346
MEM 7978.667969 1736674551.8348
MEM 7978.667969 1736674551.9351
MEM 7978.667969 1736674552.0353
MEM 7978.667969 1736674552.1355
MEM 7978.667969 1736674552.2358
MEM 7978.667969 1736674552.3360
MEM 7978.667969 1736674552.4363
MEM 7978.667969 1736674552.5365
MEM 7978.667969 1736674552.6367
MEM 7978.667969 1736674552.7370
MEM 7978.667969 1736674552.8373
MEM 7978.667969 1736674552.9375
MEM 7978.667969 1736674553.0378
MEM 7978.667969 1736674553.1380
MEM 7978.667969 1736674553.2384
MEM 7978.667969 1736674553.3386
MEM 7978.667969 1736674553.4388
MEM 7978.667969 1736674553.5392
MEM 7978.667969 1736674553.6396
MEM 7978.667969 1736674553.7398
MEM 7978.667969 1736674553.8400
MEM 7978.667969 1736674553.9403
MEM 7978.667969 1736674554.0405
MEM 7978.667969 1736674554.1407
MEM 7978.667969 1736674554.2410
MEM 7978.667969 1736674554.3413
MEM 7978.667969 1736674554.4415
MEM 7978.667969 1736674554.5417
MEM 7978.667969 1736674554.6420
MEM 7978.667969 1736674554.7422
MEM 7978.667969 1736674554.8425
MEM 7978.667969 1736674554.9428
MEM 7978.667969 1736674555.0430
MEM 7978.667969 1736674555.1432
MEM 7978.667969 1736674555.2435
MEM 7980.472656 1736674555.3437
MEM 7985.820312 1736674555.4440
MEM 7991.878906 1736674555.5442
MEM 7997.929688 1736674555.6445
MEM 8005.929688 1736674555.7447
MEM 8009.929688 1736674555.8450
MEM 8009.929688 1736674555.9452
MEM 8024.988281 1736674556.0455
MEM 8052.480469 1736674556.1457
MEM 8076.511719 1736674556.2460
MEM 8021.398438 1736674556.3462
MEM 8021.398438 1736674556.4467
MEM 8023.199219 1736674556.5470
MEM 8027.246094 1736674556.6472
MEM 8030.800781 1736674556.7474
MEM 8030.800781 1736674556.8477
MEM 8030.800781 1736674556.9479
MEM 8031.367188 1736674557.0481
MEM 8048.082031 1736674557.1484
MEM 8056.164062 1736674557.2487
MEM 8056.164062 1736674557.3491
MEM 8061.097656 1736674557.4494
MEM 8066.410156 1736674557.5497
MEM 8086.519531 1736674557.6499
MEM 8097.089844 1736674557.7501
MEM 8108.949219 1736674557.8503
MEM 8121.324219 1736674557.9506
MEM 8132.925781 1736674558.0508
MEM 8144.011719 1736674558.1510
MEM 8154.839844 1736674558.2513
MEM 8165.925781 1736674558.3516
MEM 8177.269531 1736674558.4518
MEM 8187.839844 1736674558.5520
MEM 8196.605469 1736674558.6523
MEM 8204.339844 1736674558.7526
MEM 8215.425781 1736674558.8528
MEM 8226.769531 1736674558.9530
MEM 8238.628906 1736674559.0532
MEM 8249.199219 1736674559.1534
MEM 8260.027344 1736674559.2536
MEM 8270.855469 1736674559.3539
MEM 8282.199219 1736674559.4541
MEM 8294.058594 1736674559.5543
MEM 8305.917969 1736674559.6545
MEM 8317.777344 1736674559.7547
MEM 8329.121094 1736674559.8550
MEM 8340.207031 1736674559.9553
MEM 8348.457031 1736674560.0556
MEM 8356.449219 1736674560.1559
MEM 8367.277344 1736674560.2561
MEM 8377.589844 1736674560.3564
MEM 8388.675781 1736674560.4566
MEM 8390.222656 1736674560.5569
MEM 8390.222656 1736674560.6571
MEM 8390.222656 1736674560.7574
MEM 8390.222656 1736674560.8576
MEM 8390.222656 1736674560.9579
MEM 8390.222656 1736674561.0582
MEM 8390.222656 1736674561.1584
MEM 8390.222656 1736674561.2587
MEM 8390.222656 1736674561.3589
MEM 8390.222656 1736674561.4592
MEM 8390.222656 1736674561.5594
MEM 8390.222656 1736674561.6597
MEM 8390.222656 1736674561.7600
MEM 8390.222656 1736674561.8603
MEM 8390.222656 1736674561.9605
MEM 8390.222656 1736674562.0608
MEM 8390.222656 1736674562.1611
MEM 8390.222656 1736674562.2613
MEM 8390.222656 1736674562.3616
MEM 8390.222656 1736674562.4618
MEM 8400.019531 1736674562.5620
MEM 8412.136719 1736674562.6623
MEM 8423.996094 1736674562.7624
MEM 8435.597656 1736674562.8627
MEM 8447.457031 1736674562.9629
MEM 8459.316406 1736674563.0631
MEM 8470.917969 1736674563.1633
MEM 8482.003906 1736674563.2636
MEM 8493.089844 1736674563.3638
MEM 8504.949219 1736674563.4641
MEM 8516.035156 1736674563.5643
MEM 8527.121094 1736674563.6645
MEM 8538.722656 1736674563.7647
MEM 8549.808594 1736674563.8650
MEM 8561.410156 1736674563.9652
MEM 8573.011719 1736674564.0654
MEM 8584.613281 1736674564.1656
MEM 8594.925781 1736674564.2659
MEM 8606.269531 1736674564.3661
MEM 8616.324219 1736674564.4663
MEM 8628.441406 1736674564.5666
MEM 8639.785156 1736674564.6668
MEM 8651.386719 1736674564.7670
MEM 8662.214844 1736674564.8672
MEM 8673.558594 1736674564.9674
MEM 8684.644531 1736674565.0677
MEM 8695.988281 1736674565.1679
MEM 8707.847656 1736674565.2681
MEM 8719.964844 1736674565.3684
MEM 8732.082031 1736674565.4686
MEM 8743.941406 1736674565.5688
MEM 8755.542969 1736674565.6691
MEM 8766.886719 1736674565.7693
MEM 8779.003906 1736674565.8695
MEM 8790.605469 1736674565.9697
MEM 8801.691406 1736674566.0700
MEM 8813.808594 1736674566.1702
MEM 8825.925781 1736674566.2704
MEM 8838.300781 1736674566.3706
MEM 8850.417969 1736674566.4708
MEM 8862.019531 1736674566.5711
MEM 8874.652344 1736674566.6713
MEM 8887.285156 1736674566.7715
MEM 8899.144531 1736674566.8717
MEM 8910.746094 1736674566.9719
MEM 8922.863281 1736674567.0722
MEM 8934.980469 1736674567.1724
MEM 8947.613281 1736674567.2726
MEM 8955.347656 1736674567.3730
MEM 8965.660156 1736674567.4732
MEM 8977.777344 1736674567.5735
MEM 8989.636719 1736674567.6737
MEM 9001.753906 1736674567.7739
MEM 9013.355469 1736674567.8742
MEM 9024.699219 1736674567.9744
MEM 9036.558594 1736674568.0746
MEM 9048.675781 1736674568.1748
MEM 9060.792969 1736674568.2750
MEM 9072.394531 1736674568.3753
MEM 9084.253906 1736674568.4755
MEM 9096.628906 1736674568.5759
MEM 9108.230469 1736674568.6761
MEM 9120.347656 1736674568.7763
MEM 9132.722656 1736674568.8766
MEM 9144.839844 1736674568.9768
MEM 9156.699219 1736674569.0770
MEM 9168.042969 1736674569.1772
MEM 9179.644531 1736674569.2774
MEM 9191.761719 1736674569.3776
MEM 9203.621094 1736674569.4779
MEM 9215.738281 1736674569.5781
MEM 9227.597656 1736674569.6783
MEM 9239.714844 1736674569.7785
MEM 9251.574219 1736674569.8787
MEM 9262.917969 1736674569.9790
MEM 9274.777344 1736674570.0792
MEM 9286.121094 1736674570.1794
MEM 9297.464844 1736674570.2796
MEM 9309.582031 1736674570.3798
MEM 9321.699219 1736674570.4800
MEM 9332.785156 1736674570.5802
MEM 9344.902344 1736674570.6805
MEM 9357.019531 1736674570.7807
MEM 9368.621094 1736674570.8809
MEM 9380.222656 1736674570.9811
MEM 9391.824219 1736674571.0813
MEM 9403.425781 1736674571.1815
MEM 9415.285156 1736674571.2817
MEM 9427.402344 1736674571.3819
MEM 9439.261719 1736674571.4822
MEM 9451.378906 1736674571.5824
MEM 9463.753906 1736674571.6827
MEM 9475.871094 1736674571.7829
MEM 9487.988281 1736674571.8831
MEM 9499.847656 1736674571.9833
MEM 9511.964844 1736674572.0835
MEM 9523.050781 1736674572.1838
MEM 9534.910156 1736674572.2840
MEM 9547.542969 1736674572.3842
MEM 9559.660156 1736674572.4844
MEM 9571.261719 1736674572.5847
MEM 9583.121094 1736674572.6849
MEM 9595.238281 1736674572.7851
MEM 9606.582031 1736674572.8853
MEM 9618.183594 1736674572.9855
MEM 9630.042969 1736674573.0857
MEM 9641.902344 1736674573.1859
MEM 9652.988281 1736674573.2861
MEM 9664.847656 1736674573.3863
MEM 9677.222656 1736674573.4866
MEM 9689.082031 1736674573.5868
MEM 9701.199219 1736674573.6871
MEM 9712.542969 1736674573.7873
MEM 9724.144531 1736674573.8875
MEM 9736.261719 1736674573.9877
MEM 9748.121094 1736674574.0879
MEM 9759.207031 1736674574.1881
MEM 9770.550781 1736674574.2884
MEM 9781.894531 1736674574.3886
MEM 9794.785156 1736674574.4888
MEM 9805.097656 1736674574.5891
MEM 9816.699219 1736674574.6893
MEM 9827.527344 1736674574.7895
MEM 9838.613281 1736674574.8897
MEM 9850.214844 1736674574.9899
MEM 9861.300781 1736674575.0902
MEM 9871.355469 1736674575.1904
MEM 9882.441406 1736674575.2906
MEM 9893.011719 1736674575.3908
MEM 9903.839844 1736674575.4911
MEM 9914.410156 1736674575.5913
MEM 9925.753906 1736674575.6915
MEM 9936.839844 1736674575.7917
MEM 9947.667969 1736674575.8919
MEM 9958.753906 1736674575.9922
MEM 9970.097656 1736674576.0924
MEM 9981.441406 1736674576.1926
MEM 9992.785156 1736674576.2929
MEM 10002.839844 1736674576.3931
MEM 10012.894531 1736674576.4933
MEM 10023.207031 1736674576.5936
MEM 10031.972656 1736674576.6939
MEM 10031.972656 1736674576.7942
MEM 10042.285156 1736674576.8944
MEM 10052.597656 1736674576.9946
MEM 10063.683594 1736674577.0948
MEM 10074.769531 1736674577.1951
MEM 10085.597656 1736674577.2953
MEM 10096.683594 1736674577.3955
MEM 10107.511719 1736674577.4957
MEM 10116.792969 1736674577.5960
MEM 10127.878906 1736674577.6962
MEM 10139.222656 1736674577.7964
MEM 10150.050781 1736674577.8966
MEM 10161.136719 1736674577.9968
MEM 10172.480469 1736674578.0970
MEM 10183.824219 1736674578.1973
MEM 10194.652344 1736674578.2975
MEM 10205.480469 1736674578.3977
MEM 10216.050781 1736674578.4979
MEM 10225.847656 1736674578.5981
MEM 10236.417969 1736674578.6984
MEM 10247.503906 1736674578.7986
MEM 10258.074219 1736674578.8988
MEM 10268.902344 1736674578.9990
MEM 10279.988281 1736674579.0993
MEM 10291.074219 1736674579.1995
MEM 10302.417969 1736674579.2997
MEM 10313.503906 1736674579.3999
MEM 10324.589844 1736674579.5002
MEM 10334.128906 1736674579.6005
MEM 10342.894531 1736674579.7007
MEM 10353.207031 1736674579.8009
MEM 10364.292969 1736674579.9012
MEM 10374.863281 1736674580.0014
MEM 10385.949219 1736674580.1016
MEM 10397.292969 1736674580.2019
MEM 10408.378906 1736674580.3021
MEM 10419.207031 1736674580.4024
MEM 10430.292969 1736674580.5026
MEM 10440.089844 1736674580.6029
MEM 10450.917969 1736674580.7031
MEM 10461.488281 1736674580.8033
MEM 10472.832031 1736674580.9035
MEM 10484.175781 1736674581.0037
MEM 10495.261719 1736674581.1039
MEM 10506.605469 1736674581.2042
MEM 10517.949219 1736674581.3044
MEM 10529.292969 1736674581.4046
MEM 10540.894531 1736674581.5049
MEM 10550.175781 1736674581.6052
MEM 10559.714844 1736674581.7054
MEM 10570.285156 1736674581.8056
MEM 10581.113281 1736674581.9058
MEM 10591.941406 1736674582.0060
MEM 10603.285156 1736674582.1063
MEM 10615.402344 1736674582.2065
MEM 10626.488281 1736674582.3067
MEM 10637.316406 1736674582.4069
MEM 10648.402344 1736674582.5072
MEM 10658.714844 1736674582.6074
MEM 10668.511719 1736674582.7077
MEM 10678.566406 1736674582.8079
MEM 10688.363281 1736674582.9082
MEM 10698.675781 1736674583.0084
MEM 10709.246094 1736674583.1086
MEM 10720.589844 1736674583.2088
MEM 10731.675781 1736674583.3090
MEM 10743.019531 1736674583.4093
MEM 10754.105469 1736674583.5095
MEM 10765.191406 1736674583.6097
MEM 10776.535156 1736674583.7100
MEM 10786.847656 1736674583.8102
MEM 10797.675781 1736674583.9105
MEM 10807.472656 1736674584.0108
MEM 10817.011719 1736674584.1110
MEM 10827.324219 1736674584.2113
MEM 10837.894531 1736674584.3115
MEM 10848.464844 1736674584.4117
MEM 10858.777344 1736674584.5120
MEM 10868.574219 1736674584.6122
MEM 10879.031250 1736674584.7124
MEM 10890.500000 1736674584.8127
MEM 10902.105469 1736674584.9129
MEM 10911.968750 1736674585.0132
MEM 10920.796875 1736674585.1134
MEM 10932.210938 1736674585.2137
MEM 10943.406250 1736674585.3139
MEM 10955.335938 1736674585.4141
MEM 10965.722656 1736674585.5144
MEM 10977.472656 1736674585.6146
MEM 10990.613281 1736674585.7148
MEM 11007.539062 1736674585.8150
MEM 11026.406250 1736674585.9153
MEM 11042.843750 1736674586.0155
MEM 11053.113281 1736674586.1158
MEM 11067.527344 1736674586.2161
MEM 11085.281250 1736674586.3163
MEM 11102.761719 1736674586.4166
MEM 11118.128906 1736674586.5169
MEM 11134.835938 1736674586.6171
MEM 11151.273438 1736674586.7173
MEM 11154.601562 1736674586.8176
MEM 11154.601562 1736674586.9179
MEM 11164.875000 1736674587.0181
MEM 11181.015625 1736674587.1184
MEM 11198.414062 1736674587.2186
MEM 11215.628906 1736674587.3188
MEM 11234.117188 1736674587.4191
MEM 11252.628906 1736674587.5193
MEM 11269.859375 1736674587.6196
MEM 11288.894531 1736674587.7198
MEM 11302.898438 1736674587.8201
MEM 11313.808594 1736674587.9204
MEM 11326.226562 1736674588.0207
MEM 11337.347656 1736674588.1212
MEM 11344.921875 1736674588.2217
MEM 11352.785156 1736674588.3221
MEM 11366.730469 1736674588.4225
MEM 11380.609375 1736674588.5227
MEM 11396.601562 1736674588.6230
MEM 11413.375000 1736674588.7232
MEM 11428.691406 1736674588.8235
MEM 11440.496094 1736674588.9237
MEM 11455.949219 1736674589.0240
MEM 11471.035156 1736674589.1243
MEM 11487.933594 1736674589.2245
MEM 11498.921875 1736674589.3247
MEM 11497.652344 1736674589.4249
MEM 11510.722656 1736674589.5251
MEM 11519.375000 1736674589.6254
MEM 11528.210938 1736674589.7256
MEM 11541.054688 1736674589.8258
MEM 11547.984375 1736674589.9261
MEM 11560.671875 1736674590.0263
MEM 11573.773438 1736674590.1265
MEM 11588.867188 1736674590.2268
MEM 11590.425781 1736674590.3270
MEM 11595.175781 1736674590.4273
MEM 11584.609375 1736674590.5275
MEM 11595.617188 1736674590.6277
MEM 11606.656250 1736674590.7280
MEM 11620.769531 1736674590.8282
MEM 11636.730469 1736674590.9284
MEM 11645.722656 1736674591.0288
MEM 11658.398438 1736674591.1290
MEM 11666.636719 1736674591.2293
MEM 11681.707031 1736674591.3295
MEM 11696.609375 1736674591.4298
MEM 11713.437500 1736674591.5301
MEM 11729.757812 1736674591.6303
MEM 11746.382812 1736674591.7305
MEM 11752.500000 1736674591.8308
MEM 11057.574219 1736674591.9310
MEM 9421.222656 1736674592.0314
MEM 4843.582031 1736674592.1316
MEM 4843.582031 1736674592.2319
MEM 4843.582031 1736674592.3322
MEM 4843.582031 1736674592.4324
MEM 4843.582031 1736674592.5327
MEM 4843.582031 1736674592.6330
MEM 4843.582031 1736674592.7332
MEM 4843.582031 1736674592.8335
MEM 4843.582031 1736674592.9337
MEM 4843.582031 1736674593.0340
MEM 4843.582031 1736674593.1343
MEM 4843.582031 1736674593.2345
MEM 4843.582031 1736674593.3348
MEM 4843.582031 1736674593.4350
MEM 4843.582031 1736674593.5353
MEM 4843.582031 1736674593.6356
MEM 4843.582031 1736674593.7358
MEM 4843.582031 1736674593.8361
MEM 4843.582031 1736674593.9363
MEM 4751.574219 1736674594.0366
MEM 4751.574219 1736674594.1369
MEM 4649.742188 1736674594.2372
MEM 4649.742188 1736674594.3375
MEM 4649.742188 1736674594.4377
MEM 4649.742188 1736674594.5380
MEM 4649.742188 1736674594.6382
MEM 4649.742188 1736674594.7385
MEM 4649.742188 1736674594.8388
MEM 4651.343750 1736674594.9392
MEM 4651.343750 1736674595.0394
